,index,trialid,source_register,date_registration,date_enrollement,retrospective_registration,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,study_category,intervention,intervention_list,target_enrollment,web_address,cross_registrations
10,19,ChiCTR2000029867,ChiCTR,2020-02-15,2020-02-15,False,"Beijing You'an Hospital, Capital Medical University",Recruiting,Phase 4,Interventional,China,"The efficacy and safety of carrimycin treatment in patients with novel coronavirus pneumonia (COVID-19): a multicenter, randomized, open-label, controlled trial",Drug,Carrimycin vs. lopinavir/ritonavir,Carrimycin; lopinavir; ritonavir,520,http://www.chictr.org.cn/showproj.aspx?proj=49514,None
11,20,ChiCTR2000029855,ChiCTR,2020-02-15,2020-02-15,False,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Interventional,China,"A randomized, open and controlled clinical trial for traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19)",Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,180,http://www.chictr.org.cn/showproj.aspx?proj=49543,None
12,21,ChiCTR2000029853,ChiCTR,2020-02-15,2020-02-16,False,People's Hospital of Guangshan County,Recruiting,Not Applicable,Interventional,China,"A randomized, open-label, controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)",Drug,Azvudine,Azvudine,20,http://www.chictr.org.cn/showproj.aspx?proj=49532,None
13,22,ChiCTR2000029850,ChiCTR,2020-02-15,2020-02-15,False,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Interventional,China,Study on convalescent plasma treatment for severe patients with novel coronavirus pneumonia (COVID-19),ATMP,Plasma,Plasma,20,http://www.chictr.org.cn/showproj.aspx?proj=49533,None
14,23,ChiCTR2000029849,ChiCTR,2020-02-15,2020-02-01,True,The First Affiliated Hospital of Zhengzhou University,Recruiting,Not Applicable,Interventional,China,Application of Regulating Intestinal Flora in the Treatment of Severe Novel Coronavirus Pneumonia (COVID-19),ATMP,Intestinal microbiome,Intestinal microbiome,60,http://www.chictr.org.cn/showproj.aspx?proj=49530,None
15,25,ChiCTR2000029822,ChiCTR,2020-02-14,2020-02-07,True,Nanjing Second Hospital,Recruiting,Not Applicable,Interventional,No Country Given,A randomized controlled trial for honeysuckle decoction in the treatment of patients with novel coronavirus (COVID-19) infection,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,110,http://www.chictr.org.cn/showproj.aspx?proj=49502,None
16,26,ChiCTR2000029821,ChiCTR,2020-02-14,2020-02-14,False,Deyang Integrated Traditional Chinese and Western Medicine Hospital,Not Recruiting,Not Applicable,Prevention,China,Based on Delphi Method to Preliminarily Construct a Recommended Protocol for the Prevention of Novel Coronavirus Pneumonia (COVID-19) in Deyang Area by Using Chinese Medicine Technology and its Clinical Application Evaluation,Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,400,http://www.chictr.org.cn/showproj.aspx?proj=49306,None
17,27,ChiCTR2000029819,ChiCTR,2020-02-14,2020-02-11,True,"Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University",Recruiting,Phase 4,Interventional,China,Ba-Bao-Dan in the adjuvant therapy of novel coronavirus pneumonia (COVID-19) patients,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,80,http://www.chictr.org.cn/showproj.aspx?proj=49490,None
18,29,ChiCTR2000029814,ChiCTR,2020-02-14,2020-02-14,False,Children's Hospital of Fudan University,Recruiting,Not Applicable,Interventional,China,Clinical Trial for Integrated Chinese and Western Medicine in the Treatment of Children with Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,30,http://www.chictr.org.cn/showproj.aspx?proj=49387,None
19,30,ChiCTR2000029813,ChiCTR,2020-02-14,2020-02-14,False,Shanghai Public Health Clinical Center,Recruiting,Not Applicable,Interventional,China,Clinical Trial for Tanreqing Capsules in the Treatment of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,72,http://www.chictr.org.cn/showproj.aspx?proj=49425,None
20,31,ChiCTR2000029811,ChiCTR,2020-02-14,2020-02-20,False,"Guangzhou reborn health management consultation co., LTD",Not Recruiting,Not Applicable,Interventional,No Country Given,Clinical Study for Anti-aging Active Freeze-dried Powder Granules in the Treatment of Acute Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,60,http://www.chictr.org.cn/showproj.aspx?proj=49355,None
21,33,ChiCTR2000029806,ChiCTR,2020-02-14,2020-02-12,True,Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital),Recruiting,Not Applicable,Interventional,China,Immunomodulatory Therapy for Severe Novel Coronavirus Pneumonia (COVID-19),Drug,PD1 vs. thymosin,PD1; Thymosin,120,http://www.chictr.org.cn/showproj.aspx?proj=49161,None
22,36,ChiCTR2000029790,ChiCTR,2020-02-13,2020-02-17,False,Shanghai Pulmonary Hospital,Recruiting,Not Applicable,Interventional,China,Clinical study for the integration of traditional Chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,120,http://www.chictr.org.cn/showproj.aspx?proj=49453,None
23,37,ChiCTR2000029789,ChiCTR,2020-02-13,2020-02-15,False,The First Affiliated Hospital of He'nan University of Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Randomized controlled trial for TCM syndrome differentiation treatment impacting quality of life of post-discharge patients with novel coronavirus pneumonia (COVID-19),Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,100,http://www.chictr.org.cn/showproj.aspx?proj=49348,None
24,38,ChiCTR2000029788,ChiCTR,2020-02-13,2020-03-01,False,Dongzhimen Hospital Affiliated to Beijing University of Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,Traditional Chinese medicine cooperative therapy for patients with novel coronavirus pneumonia (COVID-19): a randomized controlled trial,Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,60,http://www.chictr.org.cn/showproj.aspx?proj=49452,None
25,41,ChiCTR2000029778,ChiCTR,2020-02-13,2020-02-14,False,Shanghai University of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Clinical Study for Traditional Chinese Medicine Combined With Western Medicine in Treatment of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,600,http://www.chictr.org.cn/showproj.aspx?proj=49422,None
26,42,ChiCTR2000029777,ChiCTR,2020-02-13,2020-02-05,True,Huangshi Hospital of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,"A multicenter, randomized, controlled trial for integrated chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19) based on the 'Truncated Torsion' strategy",Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,160,http://www.chictr.org.cn/showproj.aspx?proj=49380,None
27,43,ChiCTR2000029776,ChiCTR,2020-02-13,2020-02-11,True,The First Affiliated Hospital of Wenzhou Medical University,Recruiting,Phase 4,Interventional,China,"A randomized, open-label, blank-controlled, multicenter trial for Polyinosinic-Polycytidylic Acid Injection in the treatment of novel coronavirus pneumonia (COVID-19)",Drug,Polyinosinic-polycytidylic acid,Polyinosinic-polycytidylic acid,40,http://www.chictr.org.cn/showproj.aspx?proj=49342,None
28,44,ChiCTR2000029769,ChiCTR,2020-02-13,2020-02-15,False,Enze Hospital of Taizhou Enze Medical Center (Group),Not Recruiting,Not Applicable,Interventional,China,Babaodan Capsule used for the adjuvant treatment of severe novel coronavirus pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,40,http://www.chictr.org.cn/showproj.aspx?proj=49415,None
29,45,ChiCTR2000029768,ChiCTR,2020-02-13,2020-02-12,True,Zhongnan Hospital of Wuhan University,Recruiting,Not Applicable,Interventional,China,"A randomized, open, controlled trial for diammonium glycyrrhizinate enteric-coated capsules combined with vitamin C tablets in the treatment of common novel coronavirus pneumonia (COVID-19) in the basic of clinical standard antiviral treatment to evaluate the safety and efficiency",Drug,Diammonium glycyrrhizinate + Vitamin C,Diammonium glycyrrhizinate; Vitamin C,60,http://www.chictr.org.cn/showproj.aspx?proj=49131,None
30,46,ChiCTR2000029765,ChiCTR,2020-02-13,2020-02-10,True,The First Affiliated Hospital of University of Science and Technology of China (Anhui Provincial Hospital),Recruiting,Phase 4,Interventional,China,"A multicenter, randomized controlled trial for the efficacy and safety of tocilizumab in the treatment of new coronavirus pneumonia (COVID-19)",Drug,Tocilizumab,Tocilizumab,188,http://www.chictr.org.cn/showproj.aspx?proj=49409,None
31,48,ChiCTR2000029763,ChiCTR,2020-02-12,2020-02-13,False,China Academy of Chinese Medical Sciences; Zhongnan Hospital of Wuhan University,Recruiting,Not Applicable,Interventional,China,"The efficacy of traditional chinese medicine on Novel Coronavirus Pneumonia (COVID-19) patients treated in square cabin hospital: a prospective, randomized controlled trial",Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,408,http://www.chictr.org.cn/showproj.aspx?proj=49408,None
32,50,ChiCTR2000029756,ChiCTR,2020-02-12,2020-02-15,False,Renmin Hospital of Wuhan University,Recruiting,Not Applicable,Interventional,China,Clinical study of nebulized Xiyanping injection in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,238,http://www.chictr.org.cn/showproj.aspx?proj=49222,None
33,53,ChiCTR2000029747,ChiCTR,2020-02-11,2020-02-11,False,The First Affiliated Hospital of Anhui University of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Effect evaluation and prognosis of Chinese medicine based on Novel Coronavirus Pneumonia (COVID-19),Prognosis,No Intervention,No Intervention,200,http://www.chictr.org.cn/showproj.aspx?proj=49287,None
34,54,ChiCTR2000029742,ChiCTR,2020-02-11,2020-02-10,True,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Phase 4,Interventional,China,"A randomized, parallel controlled trial for the efficacy and safety of Sodium Aescinate Injection in the treatment of patients with pneumonia (COVID-19)",Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,90,http://www.chictr.org.cn/showproj.aspx?proj=49297,None
35,55,ChiCTR2000029741,ChiCTR,2020-02-11,2020-02-12,False,The Fifth Affiliated Hospital of Sun Yat-Sen University,Recruiting,Phase 4,Interventional,China,"Efficacy of Chloroquine and Lopinavir/ Ritonavir in mild/general novel coronavirus (CoVID-19) infections: a prospective, open-label, multicenter randomized controlled clinical study",Drug,Lopinavir/ritonavir vs. chloroquine,Lopinavir/ritonavir; Chloroquine,112,http://www.chictr.org.cn/showproj.aspx?proj=49263,None
36,56,ChiCTR2000029739,ChiCTR,2020-02-11,2020-02-12,False,The First Affiliated Hospital of Guangzhou Medical University,Recruiting,Not Applicable,Interventional,China,"A Multicenter, Randomized, Parallel Controlled Clinical Study of Hydrogen-Oxygen Nebulizer to Improve the Symptoms of Patients With Novel Coronavirus Pneumonia (COVID-19)",Drug,Hydrogen + Oxygen vs Oxygen,Hydrogen; Oxygen,440,http://www.chictr.org.cn/showproj.aspx?proj=49283,None
37,61,ChiCTR2000029656,ChiCTR,2020-02-09,2020-02-14,False,Wuhan Pulmonary Hosptial,Not Recruiting,Not Applicable,Interventional,China,"A randomized, open-label study to evaluate the efficacy and safety of low-dose corticosteroids in hospitalized patients with novel coronavirus pneumonia (COVID-19)",Drug,Corticosteroids,Methylprednisolone,100,http://www.chictr.org.cn/showproj.aspx?proj=49086,None
38,62,ChiCTR2000029639,ChiCTR,2020-02-08,2020-02-10,False,The Fifth Affiliated Hospital of Sun Yat-Sen University,Recruiting,Not Applicable,Interventional,China,"Study for Mental health and psychological status of doctors, nurses and patients in novel coronavirus pneumonia (COVID-19) designated hospital and effect of interventions",Other (psych),No Intervention,No Intervention,192,http://www.chictr.org.cn/showproj.aspx?proj=49187,None
39,64,ChiCTR2000029636,ChiCTR,2020-02-08,2020-02-09,False,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Interventional,China,Efficacy and safety of aerosol inhalation of vMIP in the treatment of novel coronavirus pneumonia (COVID-19): a single arm clinical trial,ATMP,Vaccine,Vaccine,40,http://www.chictr.org.cn/showproj.aspx?proj=49215,None
40,69,ChiCTR2000029621,ChiCTR,2020-02-07,2020-02-07,False,"Ruijin Hospital, Shanghai Jiao Tong University School of Medicine",Recruiting,Phase 4,Interventional,China,Clinical study of arbidol hydrochloride tablets in the treatment of novel coronavirus pneumonia (COVID-19),Drug,Umifenovir,Umifenovir,380,http://www.chictr.org.cn/showproj.aspx?proj=49165,None
41,70,ChiCTR2000029609,ChiCTR,2020-02-06,2020-02-10,False,The Fifth Affiliated Hospital of Sun Yat-Sen University,Not Recruiting,Phase 4,Interventional,China,"A prospective, open-label, multiple-center study for the efficacy of chloroquine phosphate in patients with novel coronavirus pneumonia (COVID-19)",Drug,Chloroquine vs. lopinavir/ritonavir,Chloroquine; lopinavir; ritonavir,205,http://www.chictr.org.cn/showproj.aspx?proj=49145,None
42,71,ChiCTR2000029606,ChiCTR,2020-02-07,2020-01-25,True,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Interventional,China,Clinical Study for Human Menstrual Blood-Derived Stem Cells in the Treatment of Acute Novel Coronavirus Pneumonia (COVID-19),ATMP,Cells (stem cells),Cells (stem cells),63,http://www.chictr.org.cn/showproj.aspx?proj=49146,None
43,72,ChiCTR2000029603,ChiCTR,2020-02-06,2020-02-06,False,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Interventional,China,"A Randomized, Open-Label, Multi-Centre Clinical Trial Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Confirmed Cases of Novel Coronavirus Pneumonia (COVID-19)",Drug,ASCO9 + Ritonavir vs. Lopinavir/ritonavir,ASC09; Ritonavir; Lopinavir/ritonavir,160,http://www.chictr.org.cn/showproj.aspx?proj=49075,None
44,73,ChiCTR2000029602,ChiCTR,2020-02-06,2020-02-01,True,Hubei Hospital of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Clinical study for community based prevention and control strategy of novel coronavirus pneumonia (COVID-19) in the isolate suspected and confirmed population,Clinical Presentation (Epidemiology),No Intervention,No Intervention,600,http://www.chictr.org.cn/showproj.aspx?proj=48985,None
45,74,ChiCTR2000029601,ChiCTR,2020-02-06,2020-02-01,True,Hubei Hospital of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Community based prevention and control for Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19) in the isolate suspected and confirmed population,Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,400,http://www.chictr.org.cn/showproj.aspx?proj=48988,None
46,75,ChiCTR2000029600,ChiCTR,2020-02-06,2020-01-30,True,The Third People's Hospital of Shenzhen,Recruiting,Not Applicable,Interventional,China,Clinical study for safety and efficacy of Favipiravir in the treatment of novel coronavirus pneumonia (COVID-19),Drug,Favipiravir + interferon alpha vs. interferon alpha + Lopinavir/ritonavir + interferon alpha vs. interferon alpha,Favipiravir; interferon alpha; Lopinavir/ritonavir,90,http://www.chictr.org.cn/showproj.aspx?proj=49042,None
47,76,ChiCTR2000029578,ChiCTR,2020-02-05,2020-02-06,False,Zhejiang Chinese Medical University,Recruiting,Not Applicable,Interventional,China,"Chinese medicine prevention and treatment program for novel coronavirus pneumonia (COVID-19): a perspective, sing-arm trial",Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,1000,http://www.chictr.org.cn/showproj.aspx?proj=49080,None
48,77,ChiCTR2000029572,ChiCTR,2020-02-05,2020-02-05,False,Xiangyang First People's Hospital,Recruiting,Not Applicable,Interventional,China,Safety and efficacy of umbilical cord blood mononuclear cells in the treatment of severe and critically novel coronavirus pneumonia(COVID-19): a randomized controlled clinical trial,ATMP,Cells (mononuclear),Cells (mononuclear),30,http://www.chictr.org.cn/showproj.aspx?proj=41760,None
49,78,ChiCTR2000029569,ChiCTR,2020-02-04,2020-02-05,False,Xiangyang First People's Hospital,Not Recruiting,Not Applicable,Interventional,China,Safety and efficacy of umbilical cord blood mononuclear cells conditioned medium in the treatment of severe and critically novel coronavirus pneumonia (COVID-19): a randomized controlled trial,ATMP,Cells (mononuclear),Cells (mononuclear),30,http://www.chictr.org.cn/showproj.aspx?proj=49062,None
50,79,ChiCTR2000029559,ChiCTR,2020-02-04,2020-01-31,True,Renmin Hospital of Wuhan University,Recruiting,Phase 4,Interventional,China,Therapeutic effect of hydroxychloroquine on novel coronavirus pneumonia (COVID-19),Drug,Hydroxychloroquine,Hydroxychloroquine,300,http://www.chictr.org.cn/showproj.aspx?proj=48880,None
51,80,ChiCTR2000029558,ChiCTR,2020-02-04,2020-01-29,True,Hospital of Chengdu University of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Recommendations of Integrated Traditional Chinese and Western Medicine for Diagnosis and Treatment of Novel Coronavirus Pneumonia (COVID-19) in Sichuan Province,Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,200,http://www.chictr.org.cn/showproj.aspx?proj=48792,None
52,81,ChiCTR2000029548,ChiCTR,2020-02-04,2020-02-04,False,The First Affiliated Hospital of Zhejiang University School of Medicine,Not Recruiting,Not Applicable,Interventional,China,"Randomized, open-label, controlled trial for evaluating of the efficacy and safety of Baloxavir Marboxil, Favipiravir, and Lopinavir-Ritonavir in the treatment of novel coronavirus pneumonia (COVID-19) patients",Drug,Baloxavir + Marboxil vs. Favipiravir vs. Lopinavir/ritonavir,Baloxavir; Marboxil; Favipiravir; Lopinavir/ritonavir,30,http://www.chictr.org.cn/showproj.aspx?proj=49015,None
53,82,ChiCTR2000029544,ChiCTR,2020-02-03,2020-02-04,False,The First Affiliated Hospital of Zhejiang University School of Medicine,Not Recruiting,Not Applicable,Interventional,China,"A randomized controlled trial for the efficacy and safety of Baloxavir Marboxil, Favipiravir tablets in novel coronavirus pneumonia (COVID-19) patients who are still positive on virus detection under the current antiviral therapy",Drug,Baloxavir + Marboxil vs. Favipiravir,Baloxavir; Marboxil; Favipiravir,30,http://www.chictr.org.cn/showproj.aspx?proj=49013,None
54,83,ChiCTR2000029542,ChiCTR,2020-02-03,2020-02-03,False,Sun Yat sen Memorial Hospital of Sun Yat sen University,Recruiting,Phase 4,Interventional,China,Study for the efficacy of chloroquine in patients with novel coronavirus pneumonia (COVID-19),Drug,Chloroquine,Chloroquine,20,http://www.chictr.org.cn/showproj.aspx?proj=48968,None
55,84,ChiCTR2000029541,ChiCTR,2020-02-03,2020-02-10,False,Zhongnan Hospital of Wuhan University,Not Recruiting,Not Applicable,Interventional,China,"A randomised, open, controlled trial for darunavir/cobicistat or Lopinavir/ritonavir combined with thymosin a1 in the treatment of novel coronavirus pneumonia (COVID-19)",Drug,Darunavir + Cobicistat vs. Lopinavir/ritonavir,Darunavir; Cobicistat; Lopinavir/ritonavir,100,http://www.chictr.org.cn/showproj.aspx?proj=48992,None
56,85,ChiCTR2000029539,ChiCTR,2020-02-03,2020-02-04,False,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Interventional,China,"A randomized, open-label study to evaluate the efficacy and safety of Lopinavir-Ritonavir in patients with mild novel coronavirus pneumonia (COVID-19)",Drug,Lopinavir/ritonavir,Lopinavir; Ritonavir,328,http://www.chictr.org.cn/showproj.aspx?proj=48991,None
57,86,ChiCTR2000029518,ChiCTR,2020-02-03,2020-02-04,False,Zhejiang Chinese Medical University,Recruiting,Not Applicable,Interventional,China,"Chinese medicine prevention and treatment program for novel coronavirus pneumonia (COVID-19): a perspective, double-blind, placebo, randomised controlled trial",Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,140,http://www.chictr.org.cn/showproj.aspx?proj=48860,None
58,87,ChiCTR2000029517,ChiCTR,2020-02-03,2020-02-04,False,Zhejiang Chinese Medical University,Recruiting,Not Applicable,Interventional,China,"Chinese medicine prevention and treatment program for suspected novel coronavirus pneumonia (COVID-19): a perspective, double-blind, placebo, randomised controlled trial",Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,100,http://www.chictr.org.cn/showproj.aspx?proj=48861,None
59,88,ChiCTR2000029495,ChiCTR,2020-02-02,2020-02-03,False,"Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine",Not Recruiting,Not Applicable,Interventional,China,"Traditional Chinese Medicine, Psychological Intervention and Investigation of Mental Health for Patients With Novel Coronavirus Pneumonia (COVID-19) in Convalescent Period",Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,90,http://www.chictr.org.cn/showproj.aspx?proj=48971,None
60,89,ChiCTR2000029493,ChiCTR,2020-02-02,2020-02-03,False,"Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine",Not Recruiting,Not Applicable,Interventional,China,"Traditional Chinese Medicine for Pulmonary Fibrosis, Pulmonary Function and Quality of Life in Patients With Novel Coronavirus Pneumonia (COVID-19) in Convalescent Period: a Randomized Controlled Trial",Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,100,http://www.chictr.org.cn/showproj.aspx?proj=48931,None
61,90,ChiCTR2000029487,ChiCTR,2020-02-02,2020-02-10,False,Wuhan Hospital of Integrated Traditional Chinese and Western Medicine,Not Recruiting,Not Applicable,Prevention,China,Clinical Study for Gu-Biao Jie-Du-Ling in Preventing of Novel Coronavirus Pneumonia (COVID-19) in Children,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,200,http://www.chictr.org.cn/showproj.aspx?proj=48965,None
62,91,ChiCTR2000029468,ChiCTR,2020-02-02,2020-02-01,True,"Institute of Emergency Medicine and Disaster Medicine Sichuan People's Hospital, Sichuan Academy of Medical Sciences",Not Recruiting,Not Applicable,Interventional,China,A real-world  study for lopinavir/ritonavir (LPV/r) and emtritabine (FTC) / Tenofovir alafenamide Fumarate tablets (TAF) regimen in the treatment of novel coronavirus pneumonia (COVID-19),Drug,Lopinavir/ritonavir + emtricitabine + tenofovir vs. lopinavir/ritonavir,Lopinavir/ritonavir; Emtricitabine; Tenofovir,120,http://www.chictr.org.cn/showproj.aspx?proj=48919,None
63,93,ChiCTR2000029461,ChiCTR,2020-02-02,2020-02-03,False,"Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine",Not Recruiting,Not Applicable,Interventional,China,A Randomized Controlled Trial for Integrated Traditional Chinese Medicine and Western Medicine in the Treatment of Common Type Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,100,http://www.chictr.org.cn/showproj.aspx?proj=48927,None
64,94,ChiCTR2000029460,ChiCTR,2020-02-02,2020-02-02,False,"Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine",Not Recruiting,Not Applicable,Interventional,China,The effect of shadowboxing for pulmonary function and quality of life in patients with novel coronavirus pneumonia (COVID-19) in rehabilitation period,Other (exercise),Exercise,Exercise,100,http://www.chictr.org.cn/showproj.aspx?proj=48930,None
65,95,ChiCTR2000029459,ChiCTR,2020-02-02,2020-02-03,False,"Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine",Not Recruiting,Not Applicable,Interventional,China,The effect of pulmonary rehabilitation for pulmonary function and quality of life in patients with novel coronavirus pneumonia (COVID-19) in rehabilitation period,Other (physio),Physio & Rehabilitation,Physio & Rehabilitation,100,http://www.chictr.org.cn/showproj.aspx?proj=48929,None
